"X","probA","probB","probC","payoffA","payoffB","payoffC","stimtype","exA","exB","exC","wingap","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20","stimid"
2021,0.33,0.63,0.72,12,21,13,1,3.96,13.23,9.36,3.87,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,2,202
205,0.032,0.61,0.73,28,22,13,4,0.896,13.42,9.49,3.93,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,205
2051,0.032,0.61,0.73,28,22,13,4,0.896,13.42,9.49,3.93,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,2,3,3,3,3,3,3,3,1,3,1,3,3,2,2,3,3,205
2121,0.71,0.8,0.053,27,18,12,4,19.17,14.4,0.636,4.77,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,212
2122,0.71,0.8,0.053,27,18,12,4,19.17,14.4,0.636,4.77,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,212
213,0.49,0.52,0.053,27,21,15,4,13.23,10.92,0.795,2.31,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,213
2131,0.49,0.52,0.053,27,21,15,4,13.23,10.92,0.795,2.31,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,213
214,0.34,0.43,0.55,13,27,15,1,4.42,11.61,8.25,3.36,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,214
2141,0.34,0.43,0.55,13,27,15,1,4.42,11.61,8.25,3.36,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,214
215,0.94,0.98,0.87,20,19,25,3,18.8,18.62,21.75,2.95,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,215
2151,0.94,0.98,0.87,20,19,25,3,18.8,18.62,21.75,2.95,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,3,2,215
216,0.54,0.57,0.6,29,25,11,4,15.66,14.25,6.6,1.41,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,216
2161,0.54,0.57,0.6,29,25,11,4,15.66,14.25,6.6,1.41,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,3,3,3,3,2,3,3,2,3,3,3,2,1,2,2,3,3,3,3,216
232,0.49,0.74,0.89,29,15,11,4,14.21,11.1,9.79,3.11,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,232
2321,0.49,0.74,0.89,29,15,11,4,14.21,11.1,9.79,3.11,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,2,2,3,3,1,2,2,3,3,2,2,3,3,2,2,3,3,3,2,232
236,0.94,0.8,0.89,18,29,22,2,16.92,23.2,19.58,3.62,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,236
2361,0.94,0.8,0.89,18,29,22,2,16.92,23.2,19.58,3.62,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,2,1,1,1,1,3,3,3,2,1,1,1,1,1,1,1,3,1,236
237,0.58,0.72,0.56,10,17,29,3,5.8,12.24,16.24,4,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,237
2371,0.58,0.72,0.56,10,17,29,3,5.8,12.24,16.24,4,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,237
240,0.62,0.89,0.92,29,17,15,4,17.98,15.13,13.8,2.85,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,240
